id,skills,experience,education,location,career_field,relocation
963,sketching responsive design visual design videography adobe photoshop user testing storytelling,1,Associate,Cleveland,Arts & Media,False
964,employee retention performance management employee relations labor laws workforce planning academic writing,2,Associate,Columbus,Human Resources,False
965,talent management performance management diversity & inclusion,3,High School,Tampa,Human Resources,True
966,negotiation arbitration deposition contract law litigation,10,Associate,Boston,Legal,False
967,cash flow analysis python budget management capital markets regulatory compliance,4,High School,Columbus,Finance,False
968,root cause analysis autocad solidworks project management failure analysis industrial design testing,2,Master,New York,Engineering,False
969,google classroom lesson planning curriculum development educational technology special education stem education research,2,High School,Cleveland,Education,False
970,patient assessment anatomy preventive care rehabilitation,4,Master,Minneapolis,Healthcare,False
971,digital marketing crm software google ads facebook ads content creation content strategy user research,6,Associate,Columbus,Marketing,False
972,google ads copywriting sem google analytics public relations buffer lesson planning,7,Master,Indianapolis,Marketing,False
973,cfa capital markets corporate finance risk assessment python,2,Bachelor,Washington DC,Finance,True
974,account management consultative selling b2c sales quotas,2,High School,Austin,Sales,True
975,product development root cause analysis mechanical design circuit design manufacturing processes solidworks project management regulatory compliance audit,1,Bachelor,Minneapolis,Engineering,True
976,student assessment stem education moodle classroom management educational assessment google classroom lms,3,Associate,Chicago,Education,False
977,hubspot a/b testing campaign management buffer marketing automation content creation,5,Associate,Houston,Marketing,True
978,hootsuite affiliate marketing storytelling adobe creative suite campaign management,3,Master,Los Angeles,Marketing,True
979,interviewing employee engagement compensation adp hris systems organizational development pivot tables tableau,7,Associate,Salt Lake City,Human Resources,False
980,matlab engineering design circuit design blueprint reading,36,Master,Kansas City,Engineering,False
981,hr compliance hr policies career development hris systems catia process improvement,2,Associate,St. Louis,Human Resources,False
982,illustration adobe indesign 3d modeling sketch creative direction,4,High School,Portland,Arts & Media,False
983,hris systems succession planning talent acquisition diversity & inclusion,7,High School,Seattle,Human Resources,False
984,patient education patient assessment vital signs,14,Bachelor,San Diego,Healthcare,False
985,product development solidworks plc system design quality assurance microcontrollers,1,Bachelor,Washington DC,Engineering,False
986,negotiation consultative selling pipeline management lead generation prospecting presentations,3,Bachelor,San Antonio,Sales,True
987,adp employee retention hris systems recruiting employee engagement,3,Master,Remote,Human Resources,True
988,ruby .net oracle css,7,Bachelor,Los Angeles,Software & IT,True
989,industrial design simulation mechanical design root cause analysis,10,High School,Orlando,Engineering,True
990,objection handling solution selling closing techniques,2,Bachelor,San Francisco,Sales,True
991,industrial design engineering design simulation,6,High School,Houston,Engineering,True
992,financial statements cfa tableau,5,Bachelor,Philadelphia,Finance,False
993,academic advising student engagement course development educational assessment instructional design blackboard business development quotas,9,Associate,Kansas City,Education,False
994,finite element analysis prototyping blueprint reading failure analysis technical documentation quality assurance quality control cpa python investment management,5,High School,Remote,Engineering,True
995,teaching blackboard instructional design student counseling moodle educational administration student engagement,3,Bachelor,Philadelphia,Education,False
996,creative direction storyboarding adobe photoshop editing,9,Master,Remote,Arts & Media,False
997,mechanical design failure analysis project management cad blueprint reading employee onboarding employee engagement coaching,2,Master,Portland,Engineering,True
998,ppc hootsuite content creation marketing automation content strategy,3,High School,Boston,Marketing,True
999,solution selling consultative selling sales pipeline management account management client relationship management,7,PhD,Austin,Sales,False
1000,family law mediation legal documentation branding,6,Bachelor,Cleveland,Legal,True
1001,financial reporting python investment management risk assessment internal controls power bi,7,Bachelor,Pittsburgh,Finance,False
1002,mongodb nosql oracle css lead generation customer acquisition,1,Master,Cleveland,Software & IT,True
1003,contract law litigation regulatory compliance civil procedure legal ethics brief writing legal documentation storytelling facebook ads public relations,3,Bachelor,Philadelphia,Legal,True
1004,account management customer retention quotas sales sales analytics b2c sales crm,8,Bachelor,Cincinnati,Sales,False
1005,document review litigation due diligence case management trial experience,4,Bachelor,Minneapolis,Legal,True
1006,r budget management cash flow analysis sap power bi financial reporting hubspot sales analytics closing techniques,7,Master,Nashville,Finance,True
1007,taxation pivot tables cpa forecasting accounting bloomberg terminal,2,Bachelor,Portland,Finance,False
1008,technical documentation root cause analysis catia engineering design materials science product development gd&t,9,Bachelor,Orlando,Engineering,True
1009,influencer marketing outbound marketing adobe creative suite google ads content creation storytelling email marketing,3,Bachelor,Denver,Marketing,False
1010,typescript flask pandas civil procedure,10,Bachelor,Salt Lake City,Software & IT,False
1011,employee retention hris systems conflict resolution workforce planning performance management employee relations,4,Bachelor,Boston,Human Resources,True
1012,python sql financial statements,13,Master,Minneapolis,Finance,True
1013,financial reporting pivot tables banking derivatives python mentoring pedagogy lesson planning,7,Associate,Miami,Finance,False
1014,regulatory compliance derivatives r,5,PhD,Chicago,Finance,True
1015,territory management lead generation customer retention upselling sales forecasting patient assessment,3,Master,Washington DC,Sales,False
1016,infection control medication management phlebotomy cpa financial modeling tableau,4,Master,Columbus,Healthcare,False
1017,matlab simulation technical documentation autocad quality control student assessment stem education educational psychology,1,High School,Pittsburgh,Engineering,True
1018,seo tools hubspot ppc derivatives,12,PhD,Atlanta,Marketing,False
1019,student counseling canvas educational assessment instructional design,6,Bachelor,San Antonio,Education,True
1020,outbound marketing ppc a/b testing,11,Associate,Remote,Marketing,True
1021,mysql sql numpy html pytorch pandas azure b2c sales prospecting negotiation,5,Associate,Minneapolis,Software & IT,True
1022,lexisnexis legal writing intellectual property legal analysis educational administration,6,Associate,Raleigh,Legal,True
1023,flask php swift docker tensorflow contract negotiation presentations,4,Bachelor,St. Louis,Software & IT,False
1024,infection control physiology pharmacology therapy medical terminology,2,High School,Dallas,Healthcare,False
1025,quotas business development sales funnel management,3,Bachelor,Tampa,Sales,False
1026,patent law trial experience legal analysis courtroom procedure legal ethics legal writing,5,Bachelor,Dallas,Legal,False
1027,clinical documentation physiology vital signs medical records crm sales enablement proposal writing,2,Bachelor,Phoenix,Healthcare,True
1028,trial experience arbitration litigation drafting legal documentation brief writing lexisnexis mechanical design blueprint reading simulation,7,Bachelor,Austin,Legal,True
1029,customer retention contract negotiation lead generation consultative selling presentations negotiation sales enablement,20,High School,Houston,Sales,True
1030,system design industrial design gd&t circuit design blueprint reading,5,High School,Columbus,Engineering,True
1031,clinical documentation therapy pharmacology,4,High School,Remote,Healthcare,True
1032,content creation copywriting branding facebook ads ppc sem content strategy,22,Bachelor,Tampa,Marketing,False
1033,research educational administration curriculum development,11,Bachelor,Portland,Education,False
1034,student support educational assessment lms,11,Bachelor,San Jose,Education,True
1035,copywriting branding hubspot storytelling google ads market research,2,Associate,St. Louis,Marketing,False
1036,mergers and acquisitions financial analysis financial reporting power bi,5,Bachelor,Houston,Finance,False
1037,deposition patent law mediation redux,0,High School,Austin,Legal,True
1038,investment management mergers and acquisitions banking sql r python,4,High School,Raleigh,Finance,False
1039,creative direction layout design illustration ui design,3,Associate,San Jose,Arts & Media,True
1040,educational technology student counseling canvas mailchimp,12,Bachelor,Cincinnati,Education,False
1041,territory management account management b2c sales sales strategy lead generation,3,Bachelor,San Jose,Sales,True
1042,mechanical design thermodynamics structural analysis quality control manufacturing processes industrial design,1,High School,Orlando,Engineering,True
1043,applicant tracking systems hr analytics workday adp hr compliance audit accounting,2,Bachelor,Minneapolis,Human Resources,True
1044,copywriting sem hootsuite google analytics,3,PhD,Phoenix,Marketing,True
1045,laboratory testing emergency care treatment planning rehabilitation b2b sales proposal writing,7,Bachelor,San Francisco,Healthcare,False
1046,cfa corporate finance investment management internal controls pivot tables gaap audit corporate law mediation,4,Bachelor,Phoenix,Finance,True
1047,clinical documentation patient care patient assessment diagnosis vital signs,1,Bachelor,Seattle,Healthcare,False
1048,patent law civil procedure e-discovery,2,High School,Indianapolis,Legal,True
1049,buffer campaign management seo tools social media marketing branding digital marketing payroll processing,15,Bachelor,San Antonio,Marketing,True
1050,educational psychology educational technology lesson planning sales forecasting sales enablement,2,Master,Orlando,Education,True
1051,financial statements internal controls mergers and acquisitions pipeline management,9,Master,Dallas,Finance,False
1052,teaching lesson planning mentoring pedagogy,3,PhD,Seattle,Education,False
1053,3d modeling prototyping thermodynamics ansys engineering design root cause analysis materials science lesson planning special education student assessment,2,Bachelor,Kansas City,Engineering,False
1054,surgery preventive care phlebotomy cpr physiology,1,Bachelor,Cleveland,Healthcare,True
1055,preventive care treatment planning medical records clinical documentation infection control laboratory testing surgery content strategy,3,Bachelor,Raleigh,Healthcare,True
1056,benefits administration applicant tracking systems hr policies,2,High School,Seattle,Human Resources,True
1057,quotas customer retention business development cross-selling closing techniques sales forecasting b2b sales,4,High School,Charlotte,Sales,True
1058,prospecting objection handling consultative selling pipeline management hubspot customer retention,8,Master,Los Angeles,Sales,False
1059,negotiation legal writing trial experience case management deposition drafting mediation,3,High School,Austin,Legal,False
1060,clinical documentation pharmacology healthcare regulations phlebotomy cpr medication management vital signs,6,Master,Chicago,Healthcare,True
1061,email marketing seo inbound marketing adobe creative suite branding a/b testing,6,Master,Kansas City,Marketing,True
1062,catia structural analysis plc autocad mechanical design,7,Bachelor,St. Louis,Engineering,False
1063,3d modeling adobe photoshop sketch,8,Associate,Dallas,Arts & Media,True
1064,budget management audit python pivot tables forecasting financial statements risk assessment fluid dynamics materials science,2,Bachelor,Portland,Finance,True
1065,power bi budget management cash flow analysis mergers and acquisitions,2,Associate,San Diego,Finance,True
1066,ui design prototyping 3d modeling layout design figma research,7,Bachelor,Phoenix,Arts & Media,False
1067,lead generation negotiation crm sales,9,PhD,Minneapolis,Sales,False
1068,python capital markets cash flow analysis pivot tables financial analysis testing,3,Associate,Denver,Finance,True
1069,legal analysis patent law legal writing,4,Associate,Boston,Legal,True
1070,patient assessment disease management clinical documentation pharmacology physiology,4,Associate,Raleigh,Healthcare,True
1071,due diligence courtroom procedure case management e-discovery civil procedure litigation,2,Associate,Seattle,Legal,True
1072,cad quality control solidworks matlab compensation,7,High School,New York,Engineering,False
1073,structural analysis catia manufacturing processes 3d modeling root cause analysis quality control prototyping,19,Bachelor,Chicago,Engineering,False
1074,rust rest api mongodb kubernetes ruby java django,7,High School,San Francisco,Software & IT,False
1075,typography prototyping content strategy adobe indesign legal analysis mediation,2,Master,Charlotte,Arts & Media,False
1076,medical records clinical research emergency care laboratory testing phlebotomy therapy,2,Bachelor,Washington DC,Healthcare,False
1077,workday employee onboarding conflict resolution employee retention benefits administration payroll processing,9,High School,Washington DC,Human Resources,True
1078,flask java python graphql jenkins typescript azure,4,Bachelor,Pittsburgh,Software & IT,False
1079,cinema 4d storyboarding content strategy figma 3d modeling,2,PhD,New York,Arts & Media,True
1080,territory management sales forecasting prospecting negotiation closing techniques contract negotiation upselling,1,Bachelor,Boston,Sales,True
1081,jenkins hibernate spring .net,10,High School,San Diego,Software & IT,False
1082,gd&t microcontrollers engineering design cad quality assurance,3,Associate,Kansas City,Engineering,True
1083,due diligence westlaw negotiation patent law,4,Bachelor,San Francisco,Legal,True
1084,wireframing branding premiere pro,4,Master,Chicago,Arts & Media,True
1085,pipeline management solution selling objection handling sales funnel management sales sales enablement,3,Master,Indianapolis,Sales,False
1086,engineering design root cause analysis catia 3d modeling industrial design,3,Master,Houston,Engineering,False
1087,google analytics seo adobe creative suite inbound marketing root cause analysis circuit design structural analysis,6,High School,Salt Lake City,Marketing,False
1088,root cause analysis catia product development plc,2,Bachelor,Boston,Engineering,False
1089,thermodynamics microcontrollers testing,3,Bachelor,St. Louis,Engineering,True
1090,google ads outbound marketing hootsuite hubspot employee onboarding benefits administration diversity & inclusion,5,PhD,Austin,Marketing,True
1091,ansys solidworks industrial design autocad materials science branding adobe indesign,1,Bachelor,Nashville,Engineering,True
1092,client counseling regulatory compliance legal analysis,11,Bachelor,Miami,Legal,True
1093,medical records disease management patient assessment clinical documentation therapy prototyping product development technical documentation,5,High School,San Diego,Healthcare,True
1094,finite element analysis fluid dynamics matlab catia,1,Bachelor,Columbus,Engineering,True
1095,legal ethics brief writing arbitration drafting due diligence google ads seo,2,Associate,Denver,Legal,False
1096,forecasting financial statements cash flow analysis quickbooks sap autocad failure analysis 3d modeling,7,Master,Orlando,Finance,True
1097,investment management cash flow analysis audit sap internal controls excel derivatives b2b sales quotas,9,Bachelor,Washington DC,Finance,False
1098,mechanical design manufacturing processes autocad 3d modeling quality control quality assurance prototyping,1,Associate,San Jose,Engineering,False
1099,teaching differentiated instruction canvas special education educational administration curriculum development educational leadership,1,Bachelor,Chicago,Education,True
1100,academic advising student engagement course development,1,Bachelor,San Diego,Education,False
1101,prototyping wireframing content strategy storytelling cinema 4d user testing content strategy crm software,4,Associate,Minneapolis,Arts & Media,True
1102,patient care vital signs pharmacology emergency care psychiatric evaluation surgery clinical documentation due diligence trial experience westlaw,6,Associate,San Diego,Healthcare,False
1103,account management b2b sales sales funnel management sales forecasting lead generation legal documentation document review,9,Bachelor,San Jose,Sales,True
1104,litigation document review legal analysis lexisnexis,1,Bachelor,Washington DC,Legal,False
1105,mediation client counseling corporate law adobe creative suite facebook ads mailchimp,2,High School,Austin,Legal,True
1106,premiere pro creative direction storytelling,4,High School,Nashville,Arts & Media,True
1107,customer retention lead generation solution selling structural analysis engineering design,3,Master,Nashville,Sales,False
1108,prospecting sales enablement upselling customer retention pipeline management cross-selling seo tools seo crm software,2,PhD,Austin,Sales,True
1109,adobe creative suite google analytics content strategy canva trial experience corporate law mediation,3,Associate,Denver,Marketing,True
1110,legal writing patent law regulatory compliance civil procedure,4,Master,Miami,Legal,False
1111,fluid dynamics quality assurance system design autocad,2,Master,Detroit,Engineering,True
1112,buffer hootsuite email marketing customer journey copywriting,3,Master,Seattle,Marketing,True
1113,azure ruby aws css docker medication management case management,2,Bachelor,Columbus,Software & IT,False
1114,ansys matlab process improvement structural analysis root cause analysis prototyping patent law mediation drafting,12,Bachelor,Los Angeles,Engineering,False
1115,process improvement quality control 3d modeling outbound marketing hootsuite canva,7,Bachelor,Philadelphia,Engineering,True
1116,technical documentation thermodynamics cad,9,Master,Raleigh,Engineering,True
1117,canvas differentiated instruction instructional design lesson planning educational assessment,4,High School,Philadelphia,Education,False
1118,risk assessment audit sap capital markets python,4,Bachelor,San Diego,Finance,True
1119,node.js git pandas,3,Associate,Austin,Software & IT,True
1120,coaching employee retention hr analytics hr compliance,4,PhD,Baltimore,Human Resources,False
1121,corporate finance sap pivot tables derivatives tableau banking legal writing,4,Master,Raleigh,Finance,True
1122,student engagement research differentiated instruction canvas lms classroom management,2,Bachelor,San Antonio,Education,False
1123,google ads marketing automation seo regulatory compliance risk assessment,2,Master,Remote,Marketing,False
1124,sql scikit-learn .net,2,Associate,Baltimore,Software & IT,True
1125,customer retention cross-selling sales enablement consultative selling client relationship management,8,High School,San Antonio,Sales,False
1126,power bi sql forecasting tableau,7,Bachelor,Raleigh,Finance,True
1127,3d modeling storyboarding storytelling premiere pro sketch,0,Bachelor,Cincinnati,Arts & Media,False
1128,cpr anatomy laboratory testing treatment planning case management preventive care,4,PhD,Washington DC,Healthcare,False
1129,presentations closing techniques cold calling,0,Bachelor,Detroit,Sales,True
1130,microcontrollers engineering design manufacturing processes autocad system design simulation,3,High School,New York,Engineering,False
1131,diagnosis imaging psychiatric evaluation emergency care critical care educational leadership,20,Bachelor,Boston,Healthcare,False
1132,moodle educational leadership instructional design,16,Master,San Francisco,Education,False
1133,typography adobe indesign animation videography ui design color theory b2b sales,3,High School,San Diego,Arts & Media,True
1134,pivot tables cash flow analysis financial reporting internal controls power bi diversity & inclusion hr analytics,3,Bachelor,San Francisco,Finance,False
1135,public relations social media marketing marketing automation customer journey,4,PhD,Raleigh,Marketing,True
1136,hr policies hris systems coaching,9,Bachelor,Chicago,Human Resources,True
1137,gcp graphql php scala aws,1,Master,Minneapolis,Software & IT,False
1138,coaching employee onboarding employee training,5,Master,Atlanta,Human Resources,False
1139,affiliate marketing mailchimp market research customer acquisition,9,Master,San Francisco,Marketing,True
1140,preventive care medication management patient assessment infection control phlebotomy,5,Associate,Nashville,Healthcare,True
1141,career development labor laws interviewing employee relations hr compliance diversity & inclusion performance management,6,Associate,Kansas City,Human Resources,False
1142,succession planning benefits administration change management employee retention,1,Associate,Miami,Human Resources,False
1143,proposal writing sales enablement client relationship management pipeline management sales,2,Bachelor,San Antonio,Sales,True
1144,adobe creative suite mailchimp hubspot prototyping editing adobe photoshop,5,Bachelor,Atlanta,Marketing,False
1145,mentoring educational assessment differentiated instruction student support course development lms instructional design,4,Associate,Dallas,Education,True
1146,sql rest api nosql css kubernetes postgresql,6,Bachelor,Miami,Software & IT,False
1147,performance management talent acquisition hr analytics labor laws employee retention,6,Bachelor,Raleigh,Human Resources,False
1148,sales forecasting crm sales funnel management business development objection handling,14,Bachelor,San Jose,Sales,False
1149,javascript react swift nosql rest api html flask catia,12,Bachelor,Boston,Software & IT,False
1150,objection handling client relationship management crm,11,PhD,Columbus,Sales,False
1151,criminal law drafting courtroom procedure westlaw civil procedure,13,High School,Columbus,Legal,False
1152,gaap power bi regulatory compliance cfa plc root cause analysis blueprint reading,1,Master,Minneapolis,Finance,True
1153,excel bloomberg terminal gaap financial statements cpa,10,High School,Columbus,Finance,True
1154,r excel regulatory compliance sap risk assessment,4,Bachelor,New York,Finance,False
1155,contract negotiation client relationship management consultative selling sales sales strategy b2c sales customer acquisition interviewing employee engagement performance management,9,Bachelor,Orlando,Sales,False
1156,clinical research preventive care therapy imaging treatment planning patient care pharmacology catia prototyping fluid dynamics,5,Bachelor,Phoenix,Healthcare,False
1157,public relations market research digital marketing copywriting seo tools branding financial analysis audit tableau,4,Bachelor,St. Louis,Marketing,False
1158,storyboarding user testing photography adobe photoshop blender wireframing excel,23,Associate,San Jose,Arts & Media,True
1159,lead generation client relationship management cold calling business development proposal writing solution selling consultative selling,8,Associate,Remote,Sales,False
1160,lms student assessment mentoring iep development academic writing,3,Bachelor,Atlanta,Education,False
1161,mysql swift flask mongodb kotlin litigation mediation,13,Bachelor,Orlando,Software & IT,True
1162,document review trademark law corporate law,5,Bachelor,Cincinnati,Legal,True
1163,drafting corporate law negotiation trial experience criminal law arbitration animation ux design,18,Master,Denver,Legal,True
1164,content strategy typography creative direction sketch ux design,4,Associate,Charlotte,Arts & Media,False
1165,crm software branding hootsuite hubspot,4,Bachelor,Washington DC,Marketing,False
1166,root cause analysis finite element analysis structural analysis microcontrollers simulation invision,8,Associate,Salt Lake City,Engineering,True
1167,django jenkins pandas,0,Associate,San Jose,Software & IT,False
1168,treatment planning laboratory testing patient care imaging infection control,3,Master,New York,Healthcare,False
1169,color theory branding ui design invision storyboarding google classroom educational psychology special education,6,Associate,Nashville,Arts & Media,False
1170,b2b sales business development proposal writing client relationship management customer acquisition videography figma blender,2,Bachelor,Detroit,Sales,True
1171,critical care clinical documentation patient education electronic health records contract law arbitration,8,Associate,Los Angeles,Healthcare,True
1172,gd&t ansys prototyping process improvement project management circuit design autocad premiere pro illustration layout design,3,Associate,San Francisco,Engineering,False
1173,closing techniques presentations sales funnel management solution selling,8,High School,Miami,Sales,False
1174,critical care medical records phlebotomy pharmacology psychiatric evaluation clinical documentation treatment planning,8,Bachelor,Tampa,Healthcare,True
1175,cinema 4d creative direction adobe illustrator photography adobe photoshop storyboarding visual design,5,Master,Charlotte,Arts & Media,False
1176,conflict resolution labor laws hris systems performance management hr compliance applicant tracking systems workforce planning,2,Bachelor,Seattle,Human Resources,True
1177,postgresql pandas css tensorflow swift corporate finance financial reporting,3,High School,Orlando,Software & IT,False
1178,negotiation case management regulatory compliance,18,Master,San Antonio,Legal,True
1179,wireframing content strategy copywriting storyboarding,6,Master,Salt Lake City,Arts & Media,True
1180,pipeline management hubspot b2c sales client relationship management lead generation,2,Associate,Charlotte,Sales,True
1181,scikit-learn tensorflow oracle,1,Master,Charlotte,Software & IT,True
1182,course development mentoring teaching,3,Associate,Phoenix,Education,False
1183,manufacturing processes testing blueprint reading quality assurance catia premiere pro,8,High School,St. Louis,Engineering,True
1184,python sql swift numpy php pytorch graphql,8,Master,Houston,Software & IT,False
1185,client relationship management b2b sales consultative selling quotas lead generation upselling sales funnel management,4,PhD,San Jose,Sales,False
1186,disease management imaging laboratory testing rehabilitation anatomy phlebotomy,4,Bachelor,Phoenix,Healthcare,True
1187,drafting legal analysis patent law,6,Bachelor,Nashville,Legal,True
1188,solidworks 3d modeling circuit design microcontrollers industrial design blueprint reading,17,High School,Dallas,Engineering,True
1189,deposition document review legal analysis,12,Bachelor,Orlando,Legal,False
1190,sketch storytelling responsive design content strategy art direction cinema 4d after effects,7,Bachelor,San Jose,Arts & Media,False
1191,hibernate kubernetes ruby nosql postgresql graphql redux a/b testing influencer marketing,2,Bachelor,Minneapolis,Software & IT,False
1192,mailchimp content creation seo google analytics outbound marketing email marketing buffer financial modeling gaap derivatives,3,Bachelor,Houston,Marketing,True
1193,student support differentiated instruction educational psychology teaching,10,Bachelor,Dallas,Education,False
1194,quality control materials science manufacturing processes testing project management microcontrollers failure analysis mysql,1,Bachelor,San Francisco,Engineering,True
1195,tensorflow mysql html,6,PhD,Kansas City,Software & IT,False
1196,westlaw mediation trial experience document review change management performance management,8,Master,New York,Legal,True
1197,microcontrollers project management cad,1,Bachelor,San Diego,Engineering,False
1198,adp change management career development compensation conflict resolution employee engagement,21,Master,Miami,Human Resources,False
1199,redux swift django nosql,7,Bachelor,Remote,Software & IT,False
1200,canvas lesson planning academic advising moodle pedagogy student support educational psychology ui design,3,Bachelor,San Antonio,Education,True
1201,python mergers and acquisitions cfa sql internal controls gaap,5,Bachelor,Tampa,Finance,True
1202,mongodb oracle scala jenkins kubernetes .net java blackboard,7,Bachelor,Orlando,Software & IT,True
1203,typography user research sketching storytelling,12,Master,Detroit,Arts & Media,False
1204,sketching user testing ui design creative direction responsive design branding videography,2,Bachelor,Dallas,Arts & Media,True
1205,patent law e-discovery due diligence legal ethics,4,Master,St. Louis,Legal,False
1206,lesson planning canvas mentoring teaching classroom management stem education,9,Bachelor,Nashville,Education,False
1207,social media marketing outbound marketing copywriting blackboard student counseling,1,Bachelor,Houston,Marketing,True
1208,outbound marketing buffer ppc copywriting influencer marketing crm,1,Master,Charlotte,Marketing,False
1209,matlab structural analysis engineering design industrial design failure analysis catia process improvement,9,Bachelor,Los Angeles,Engineering,True
1210,lexisnexis corporate law document review regulatory compliance mediation trademark law invision content strategy after effects,40,Bachelor,Detroit,Legal,False
1211,trademark law legal ethics legal documentation legal analysis corporate law java css,7,High School,Cincinnati,Legal,True
1212,emergency care diagnosis psychiatric evaluation rehabilitation patient education physiology educational psychology,7,High School,Chicago,Healthcare,False
1213,financial reporting forecasting sql cfa accounting gaap,2,Bachelor,St. Louis,Finance,True
1214,digital marketing adobe creative suite copywriting public relations seo branding hr analytics workforce planning,1,Master,Houston,Marketing,True
1215,catia solidworks technical documentation thermodynamics industrial design prospecting sales enablement upselling,2,Bachelor,Cleveland,Engineering,False
1216,ansys manufacturing processes autocad prototyping technical documentation,1,Associate,Chicago,Engineering,True
1217,financial modeling taxation quickbooks gaap regulatory compliance audit catia industrial design,2,Associate,Pittsburgh,Finance,False
1218,gd&t product development quality assurance technical documentation,4,Associate,Portland,Engineering,False
1219,taxation financial analysis financial modeling excel bloomberg terminal sap,9,Bachelor,Houston,Finance,True
1220,pharmacology infection control physiology preventive care psychiatric evaluation patient education,0,High School,Tampa,Healthcare,True
1221,lexisnexis litigation criminal law legal ethics westlaw,12,Associate,Chicago,Legal,False
1222,sales enablement quotas client relationship management sales forecasting cross-selling objection handling sales analytics,3,Associate,San Antonio,Sales,False
1223,mergers and acquisitions financial reporting capital markets forecasting cash flow analysis,1,Bachelor,Cleveland,Finance,True
1224,intellectual property courtroom procedure legal analysis trademark law mediation civil procedure,4,Master,Denver,Legal,False
1225,mysql hibernate php pytorch c++ aws graphql mentoring lms educational administration,4,Associate,Atlanta,Software & IT,True
1226,employee training succession planning bamboo hr,10,Bachelor,Minneapolis,Human Resources,False
1227,kotlin pandas spring c++ scala,4,Bachelor,Charlotte,Software & IT,False
1228,plc mechanical design project management prototyping ansys mongodb oracle,10,Associate,Charlotte,Engineering,True
1229,forecasting taxation mergers and acquisitions internal controls gaap financial analysis surgery,7,High School,Cleveland,Finance,True
1230,css php nosql ruby mongodb azure,12,Master,Columbus,Software & IT,False
1231,mysql ruby numpy,3,Bachelor,Salt Lake City,Software & IT,True
1232,java html react graphql kubernetes .net tensorflow content creation,2,Bachelor,Charlotte,Software & IT,True
1233,courtroom procedure client counseling drafting document review lexisnexis mediation customer acquisition cross-selling,4,High School,Nashville,Legal,False
1234,corporate finance taxation regulatory compliance,8,High School,Raleigh,Finance,False
1235,mechanical design testing engineering design product development project management,9,Bachelor,Denver,Engineering,False
1236,creative direction adobe photoshop cinema 4d adobe illustrator visual design,1,Bachelor,Detroit,Arts & Media,True
1237,quickbooks power bi excel financial statements bamboo hr,6,Master,Miami,Finance,False
1238,portfolio management cpa python sql cash flow analysis quickbooks,7,High School,Seattle,Finance,True
1239,surgery infection control therapy patient education vital signs medical terminology diagnosis,4,Master,Washington DC,Healthcare,True
1240,3d modeling project management product development solidworks materials science technical documentation,2,Bachelor,Philadelphia,Engineering,False
1241,patent law corporate law legal research legal ethics intellectual property client counseling,4,Bachelor,Chicago,Legal,False
1242,negotiation sales cold calling quotas business development territory management upselling,4,Bachelor,Tampa,Sales,True
1243,talent management payroll processing talent acquisition career development,12,High School,Atlanta,Human Resources,True
1244,art direction editing user testing invision,3,High School,New York,Arts & Media,True
1245,quality control materials science failure analysis industrial design project management ansys testing,4,Bachelor,Cleveland,Engineering,False
1246,blender animation adobe photoshop figma copywriting,8,High School,San Antonio,Arts & Media,False
1247,compensation hr compliance diversity & inclusion career development change management hr policies employee relations,3,Bachelor,Philadelphia,Human Resources,False
1248,courtroom procedure legal analysis lexisnexis trademark law client counseling,4,High School,New York,Legal,False
1249,hubspot public relations buffer content creation,2,Associate,Detroit,Marketing,True
1250,cross-selling sales customer acquisition,4,Bachelor,Miami,Sales,False
1251,legal writing legal analysis contract law,7,Bachelor,Salt Lake City,Legal,False
1252,course development educational psychology academic advising student support curriculum development academic writing moodle,3,Bachelor,San Diego,Education,False
1253,cad process improvement plc,2,Bachelor,Minneapolis,Engineering,False
1254,rust scala ruby,7,Associate,Nashville,Software & IT,True
1255,inbound marketing sem public relations facebook ads mailchimp market research,7,Bachelor,Los Angeles,Marketing,True
1256,employee training talent acquisition applicant tracking systems career development adp,19,Bachelor,Denver,Human Resources,True
1257,regulatory compliance corporate law legal ethics due diligence arbitration,16,Bachelor,Minneapolis,Legal,False
1258,sales strategy sales enablement hubspot salesforce lesson planning,4,High School,Orlando,Sales,True
1259,numpy nosql aws mongodb hibernate quickbooks investment management,2,Bachelor,Cincinnati,Software & IT,True
1260,color theory sketch wireframing blender adobe indesign content strategy adobe photoshop,2,Bachelor,Cincinnati,Arts & Media,True
1261,rehabilitation therapy disease management infection control case management b2c sales,4,Bachelor,New York,Healthcare,False
1262,seo tools hootsuite analytics,2,High School,Salt Lake City,Marketing,True
1263,crm software hootsuite marketing automation social media marketing sem seo,2,Bachelor,Dallas,Marketing,False
1264,clinical documentation preventive care patient care disease management courtroom procedure,3,High School,Cincinnati,Healthcare,True
1265,westlaw civil procedure intellectual property patent law criminal law,3,Master,Phoenix,Legal,False
1266,canva email marketing sem storytelling adobe creative suite content strategy,2,Associate,Salt Lake City,Marketing,False
1267,applicant tracking systems employee onboarding talent management coaching,1,Associate,Nashville,Human Resources,True
1268,affiliate marketing google ads marketing automation content strategy email marketing client relationship management customer acquisition customer retention,3,High School,Remote,Marketing,True
1269,sales enablement quotas upselling b2c sales sales strategy client relationship management objection handling python financial analysis tableau,4,Bachelor,Atlanta,Sales,True
1270,change management benefits administration conflict resolution employee training organizational development hr policies workday,6,Bachelor,Chicago,Human Resources,True
1271,legal analysis client counseling regulatory compliance,6,Master,San Francisco,Legal,False
